Id,Category
0,6
1,2
2,4
3,3
4,3
5,9
6,7
7,1
8,3
9,1
10,1
11,4
12,2
13,7
14,2
15,9
16,3
17,1
18,0
19,1
20,1
21,2
22,2
23,6
24,2
25,0
26,7
27,5
28,1
29,0
30,4
31,3
32,1
33,3
34,9
35,6
36,6
37,9
38,4
39,4
40,0
41,0
42,7
43,6
44,0
45,8
46,2
47,4
48,1
49,6
50,0
51,4
52,9
53,0
54,7
55,0
56,1
57,2
58,0
59,3
60,6
61,4
62,0
63,5
64,0
65,1
66,2
67,4
68,0
69,8
70,9
71,4
72,1
73,4
74,9
75,5
76,0
77,6
78,9
79,2
80,7
81,5
82,4
83,2
84,5
85,7
86,3
87,1
88,7
89,5
90,5
91,8
92,2
93,9
94,8
95,1
96,4
97,7
98,1
99,5
100,8
101,7
102,6
103,4
104,1
105,9
106,6
107,8
108,7
109,3
110,2
111,8
112,9
113,9
114,3
115,6
116,1
117,8
118,4
119,4
120,0
121,2
122,9
123,7
124,6
125,6
126,2
127,1
128,1
129,0
130,0
131,2
132,5
133,6
134,1
135,2
136,8
137,5
138,2
139,6
140,4
141,9
142,3
143,3
144,5
145,3
146,8
147,2
148,4
149,9
150,7
151,2
152,3
153,9
154,9
155,3
156,3
157,7
158,6
159,4
160,3
161,2
162,5
163,7
164,6
165,3
166,8
167,1
168,4
169,6
170,3
171,8
172,8
173,5
174,3
175,9
176,7
177,9
178,3
179,3
180,1
181,6
182,5
183,1
184,4
185,8
186,5
187,1
188,9
189,2
190,3
191,5
192,4
193,6
194,5
195,8
196,7
197,9
198,3
199,9
200,0
201,6
202,7
203,6
204,3
205,9
206,4
207,2
208,8
209,6
210,3
211,5
212,4
213,1
214,4
215,1
216,1
217,6
218,1
219,4
220,1
221,7
222,6
223,0
224,0
225,5
226,7
227,3
228,6
229,3
230,5
231,7
232,1
233,1
234,1
235,8
236,0
237,0
238,3
239,2
240,9
241,2
242,4
243,3
244,8
245,3
246,8
247,6
248,3
249,3
250,3
251,6
252,7
253,0
254,8
255,6
256,9
257,1
258,0
259,8
260,6
261,8
262,2
263,3
264,1
265,1
266,9
267,7
268,2
269,5
270,6
271,9
272,3
273,0
274,2
275,8
276,6
277,2
278,8
279,5
280,9
281,8
282,9
283,2
284,4
285,1
286,0
287,4
288,8
289,3
290,4
291,6
292,0
293,9
294,0
295,2
296,5
297,5
298,2
299,5
300,3
301,1
302,4
303,3
304,6
305,5
306,9
307,6
308,8
309,5
310,5
311,3
312,7
313,2
314,4
315,7
316,8
317,2
318,8
319,5
320,6
321,3
322,5
323,5
324,6
325,1
326,9
327,7
328,0
329,5
330,7
331,9
332,3
333,9
334,1
335,5
336,4
337,4
338,3
339,5
340,9
341,4
342,4
343,3
344,3
345,3
346,0
347,9
348,4
349,4
350,7
351,6
352,0
353,1
354,8
355,2
356,9
357,2
358,0
359,6
360,7
361,1
362,0
363,8
364,9
365,7
366,6
367,8
368,3
369,4
370,4
371,5
372,2
373,6
374,1
375,3
376,4
377,3
378,6
379,6
380,7
381,1
382,5
383,0
384,1
385,8
386,1
387,5
388,8
389,7
390,1
391,2
392,5
393,7
394,4
395,3
396,0
397,1
398,3
399,7
400,5
401,1
402,3
403,0
404,2
405,9
406,4
407,7
408,9
409,5
410,9
411,3
412,9
413,4
414,3
415,2
416,8
417,4
418,1
419,8
420,6
421,4
422,5
423,2
424,9
425,5
426,4
427,0
428,9
429,4
430,7
431,7
432,6
433,5
434,5
435,8
436,9
437,9
